:Data_list: 20150325_Gp_mag_1m.txt
:Created: 2015 Mar 26 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-13
# Location: W075
# Missing data: -1.00e+05
#
#         1-minute GOES-13 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2015 03 25  0000   57106      0     8.67e+01    4.75e+01   -6.11e+00    9.91e+01
2015 03 25  0001   57106     60     8.68e+01    4.77e+01   -6.62e+00    9.92e+01
2015 03 25  0002   57106    120     8.73e+01    4.81e+01   -6.74e+00    9.99e+01
2015 03 25  0003   57106    180     8.78e+01    4.79e+01   -6.95e+00    1.00e+02
2015 03 25  0004   57106    240     8.79e+01    4.79e+01   -7.35e+00    1.00e+02
2015 03 25  0005   57106    300     8.84e+01    4.68e+01   -6.78e+00    1.00e+02
2015 03 25  0006   57106    360     8.79e+01    4.77e+01   -6.71e+00    1.00e+02
2015 03 25  0007   57106    420     8.80e+01    4.81e+01   -7.10e+00    1.01e+02
2015 03 25  0008   57106    480     8.77e+01    4.84e+01   -6.87e+00    1.00e+02
2015 03 25  0009   57106    540     8.80e+01    4.83e+01   -6.97e+00    1.01e+02
2015 03 25  0010   57106    600     8.81e+01    4.83e+01   -6.84e+00    1.01e+02
2015 03 25  0011   57106    660     8.84e+01    4.80e+01   -7.50e+00    1.01e+02
2015 03 25  0012   57106    720     8.81e+01    4.82e+01   -7.17e+00    1.01e+02
2015 03 25  0013   57106    780     8.81e+01    4.76e+01   -7.35e+00    1.00e+02
2015 03 25  0014   57106    840     8.80e+01    4.77e+01   -6.81e+00    1.00e+02
2015 03 25  0015   57106    900     8.80e+01    4.80e+01   -7.03e+00    1.00e+02
2015 03 25  0016   57106    960     8.82e+01    4.75e+01   -6.95e+00    1.00e+02
2015 03 25  0017   57106   1020     8.86e+01    4.74e+01   -7.13e+00    1.01e+02
2015 03 25  0018   57106   1080     8.85e+01    4.70e+01   -7.15e+00    1.00e+02
2015 03 25  0019   57106   1140     8.79e+01    4.70e+01   -6.72e+00    9.99e+01
2015 03 25  0020   57106   1200     8.77e+01    4.77e+01   -6.62e+00    1.00e+02
2015 03 25  0021   57106   1260     8.79e+01    4.79e+01   -6.05e+00    1.00e+02
2015 03 25  0022   57106   1320     8.81e+01    4.76e+01   -6.92e+00    1.00e+02
2015 03 25  0023   57106   1380     8.81e+01    4.74e+01   -6.62e+00    1.00e+02
2015 03 25  0024   57106   1440     8.81e+01    4.74e+01   -6.93e+00    1.00e+02
2015 03 25  0025   57106   1500     8.80e+01    4.76e+01   -6.57e+00    1.00e+02
2015 03 25  0026   57106   1560     8.81e+01    4.74e+01   -6.62e+00    1.00e+02
2015 03 25  0027   57106   1620     8.81e+01    4.74e+01   -5.82e+00    1.00e+02
2015 03 25  0028   57106   1680     8.82e+01    4.81e+01   -6.60e+00    1.01e+02
2015 03 25  0029   57106   1740     8.83e+01    4.84e+01   -6.41e+00    1.01e+02
2015 03 25  0030   57106   1800     8.82e+01    4.89e+01   -6.76e+00    1.01e+02
2015 03 25  0031   57106   1860     8.80e+01    4.83e+01   -5.97e+00    1.01e+02
2015 03 25  0032   57106   1920     8.74e+01    4.83e+01   -6.62e+00    1.00e+02
2015 03 25  0033   57106   1980     8.73e+01    4.79e+01   -6.78e+00    9.98e+01
2015 03 25  0034   57106   2040     8.72e+01    4.82e+01   -6.55e+00    9.98e+01
2015 03 25  0035   57106   2100     8.75e+01    4.84e+01   -6.74e+00    1.00e+02
2015 03 25  0036   57106   2160     8.76e+01    4.89e+01   -6.60e+00    1.01e+02
2015 03 25  0037   57106   2220     8.76e+01    4.86e+01   -6.93e+00    1.00e+02
2015 03 25  0038   57106   2280     8.73e+01    4.87e+01   -6.63e+00    1.00e+02
2015 03 25  0039   57106   2340     8.72e+01    4.89e+01   -6.73e+00    1.00e+02
2015 03 25  0040   57106   2400     8.73e+01    4.91e+01   -6.42e+00    1.00e+02
2015 03 25  0041   57106   2460     8.75e+01    4.93e+01   -6.61e+00    1.01e+02
2015 03 25  0042   57106   2520     8.80e+01    4.88e+01   -6.62e+00    1.01e+02
2015 03 25  0043   57106   2580     8.74e+01    4.92e+01   -6.98e+00    1.01e+02
2015 03 25  0044   57106   2640     8.76e+01    4.88e+01   -7.10e+00    1.01e+02
2015 03 25  0045   57106   2700     8.73e+01    4.90e+01   -6.75e+00    1.00e+02
2015 03 25  0046   57106   2760     8.73e+01    4.88e+01   -6.72e+00    1.00e+02
2015 03 25  0047   57106   2820     8.75e+01    4.87e+01   -6.57e+00    1.00e+02
2015 03 25  0048   57106   2880     8.72e+01    4.89e+01   -6.76e+00    1.00e+02
2015 03 25  0049   57106   2940     8.76e+01    4.86e+01   -6.56e+00    1.00e+02
2015 03 25  0050   57106   3000     8.76e+01    4.85e+01   -6.50e+00    1.00e+02
2015 03 25  0051   57106   3060     8.72e+01    4.83e+01   -6.48e+00    9.99e+01
2015 03 25  0052   57106   3120     8.72e+01    4.81e+01   -6.64e+00    9.98e+01
2015 03 25  0053   57106   3180     8.72e+01    4.79e+01   -6.50e+00    9.97e+01
2015 03 25  0054   57106   3240     8.69e+01    4.79e+01   -6.41e+00    9.94e+01
2015 03 25  0055   57106   3300     8.69e+01    4.81e+01   -6.35e+00    9.95e+01
2015 03 25  0056   57106   3360     8.69e+01    4.81e+01   -6.55e+00    9.95e+01
2015 03 25  0057   57106   3420     8.70e+01    4.81e+01   -6.49e+00    9.96e+01
2015 03 25  0058   57106   3480     8.70e+01    4.79e+01   -6.49e+00    9.95e+01
2015 03 25  0059   57106   3540     8.67e+01    4.81e+01   -6.37e+00    9.94e+01
2015 03 25  0100   57106   3600     8.69e+01    4.77e+01   -6.28e+00    9.93e+01
2015 03 25  0101   57106   3660     8.67e+01    4.79e+01   -6.22e+00    9.93e+01
2015 03 25  0102   57106   3720     8.67e+01    4.76e+01   -6.31e+00    9.91e+01
2015 03 25  0103   57106   3780     8.66e+01    4.73e+01   -6.31e+00    9.89e+01
2015 03 25  0104   57106   3840     8.64e+01    4.72e+01   -6.37e+00    9.86e+01
2015 03 25  0105   57106   3900     8.62e+01    4.70e+01   -6.31e+00    9.84e+01
2015 03 25  0106   57106   3960     8.59e+01    4.73e+01   -6.26e+00    9.82e+01
2015 03 25  0107   57106   4020     8.61e+01    4.70e+01   -6.24e+00    9.82e+01
2015 03 25  0108   57106   4080     8.58e+01    4.75e+01   -6.26e+00    9.83e+01
2015 03 25  0109   57106   4140     8.58e+01    4.70e+01   -6.38e+00    9.80e+01
2015 03 25  0110   57106   4200     8.53e+01    4.75e+01   -6.52e+00    9.79e+01
2015 03 25  0111   57106   4260     8.52e+01    4.75e+01   -6.40e+00    9.78e+01
2015 03 25  0112   57106   4320     8.53e+01    4.75e+01   -6.24e+00    9.78e+01
2015 03 25  0113   57106   4380     8.49e+01    4.76e+01   -6.27e+00    9.76e+01
2015 03 25  0114   57106   4440     8.46e+01    4.76e+01   -6.26e+00    9.73e+01
2015 03 25  0115   57106   4500     8.47e+01    4.76e+01   -6.46e+00    9.74e+01
2015 03 25  0116   57106   4560     8.46e+01    4.79e+01   -6.55e+00    9.74e+01
2015 03 25  0117   57106   4620     8.47e+01    4.77e+01   -6.61e+00    9.75e+01
