:Data_list: 20150326_Gp_mag_1m.txt
:Created: 2015 Mar 26 0901 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-13
# Location: W075
# Missing data: -1.00e+05
#
#         1-minute GOES-13 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2015 03 26  0000   57107      0     8.50e+01    4.82e+01   -6.80e+00    9.80e+01
2015 03 26  0001   57107     60     8.46e+01    4.81e+01   -6.41e+00    9.75e+01
2015 03 26  0002   57107    120     8.46e+01    4.82e+01   -6.13e+00    9.75e+01
2015 03 26  0003   57107    180     8.52e+01    4.81e+01   -6.52e+00    9.80e+01
2015 03 26  0004   57107    240     8.50e+01    4.81e+01   -6.77e+00    9.79e+01
2015 03 26  0005   57107    300     8.50e+01    4.70e+01   -6.97e+00    9.74e+01
2015 03 26  0006   57107    360     8.45e+01    4.74e+01   -6.37e+00    9.71e+01
2015 03 26  0007   57107    420     8.42e+01    4.70e+01   -6.07e+00    9.67e+01
2015 03 26  0008   57107    480     8.51e+01    4.72e+01   -5.94e+00    9.75e+01
2015 03 26  0009   57107    540     8.47e+01    4.69e+01   -6.04e+00    9.70e+01
2015 03 26  0010   57107    600     8.46e+01    4.70e+01   -6.96e+00    9.70e+01
2015 03 26  0011   57107    660     8.40e+01    4.71e+01   -6.97e+00    9.66e+01
2015 03 26  0012   57107    720     8.45e+01    4.68e+01   -5.99e+00    9.68e+01
2015 03 26  0013   57107    780     8.31e+01    4.66e+01   -6.08e+00    9.55e+01
2015 03 26  0014   57107    840     8.29e+01    4.70e+01   -5.99e+00    9.55e+01
2015 03 26  0015   57107    900     8.32e+01    4.71e+01   -6.25e+00    9.58e+01
2015 03 26  0016   57107    960     8.26e+01    4.76e+01   -5.25e+00    9.55e+01
2015 03 26  0017   57107   1020     8.27e+01    4.73e+01   -5.87e+00    9.55e+01
2015 03 26  0018   57107   1080     8.25e+01    4.78e+01   -5.32e+00    9.55e+01
2015 03 26  0019   57107   1140     8.31e+01    4.77e+01   -6.68e+00    9.61e+01
2015 03 26  0020   57107   1200     8.31e+01    4.81e+01   -6.89e+00    9.63e+01
2015 03 26  0021   57107   1260     8.32e+01    4.81e+01   -6.76e+00    9.63e+01
2015 03 26  0022   57107   1320     8.25e+01    4.81e+01   -6.11e+00    9.57e+01
2015 03 26  0023   57107   1380     8.28e+01    4.84e+01   -5.82e+00    9.61e+01
2015 03 26  0024   57107   1440     8.32e+01    4.82e+01   -5.57e+00    9.64e+01
2015 03 26  0025   57107   1500     8.23e+01    4.84e+01   -6.29e+00    9.57e+01
2015 03 26  0026   57107   1560     8.27e+01    4.82e+01   -6.80e+00    9.60e+01
2015 03 26  0027   57107   1620     8.25e+01    4.84e+01   -6.03e+00    9.59e+01
2015 03 26  0028   57107   1680     8.17e+01    4.88e+01   -6.14e+00    9.54e+01
2015 03 26  0029   57107   1740     8.21e+01    4.89e+01   -6.31e+00    9.58e+01
2015 03 26  0030   57107   1800     8.21e+01    4.89e+01   -6.40e+00    9.58e+01
2015 03 26  0031   57107   1860     8.21e+01    4.89e+01   -7.27e+00    9.58e+01
2015 03 26  0032   57107   1920     8.21e+01    4.90e+01   -7.82e+00    9.60e+01
2015 03 26  0033   57107   1980     8.22e+01    4.89e+01   -7.66e+00    9.59e+01
2015 03 26  0034   57107   2040     8.18e+01    4.83e+01   -7.50e+00    9.53e+01
2015 03 26  0035   57107   2100     8.14e+01    4.85e+01   -7.66e+00    9.51e+01
2015 03 26  0036   57107   2160     8.15e+01    4.90e+01   -7.41e+00    9.54e+01
2015 03 26  0037   57107   2220     8.12e+01    4.86e+01   -7.21e+00    9.49e+01
2015 03 26  0038   57107   2280     8.05e+01    4.79e+01   -7.35e+00    9.40e+01
2015 03 26  0039   57107   2340     8.01e+01    4.84e+01   -7.21e+00    9.39e+01
2015 03 26  0040   57107   2400     7.99e+01    4.86e+01   -6.26e+00    9.38e+01
2015 03 26  0041   57107   2460     7.89e+01    4.74e+01   -5.20e+00    9.22e+01
2015 03 26  0042   57107   2520     7.80e+01    4.83e+01   -6.75e+00    9.20e+01
2015 03 26  0043   57107   2580     7.84e+01    4.90e+01   -6.48e+00    9.27e+01
2015 03 26  0044   57107   2640     7.80e+01    4.92e+01   -5.08e+00    9.24e+01
2015 03 26  0045   57107   2700     7.73e+01    4.81e+01   -5.93e+00    9.13e+01
2015 03 26  0046   57107   2760     7.73e+01    4.80e+01   -6.44e+00    9.12e+01
2015 03 26  0047   57107   2820     7.75e+01    4.77e+01   -6.51e+00    9.12e+01
2015 03 26  0048   57107   2880     7.80e+01    4.70e+01   -6.53e+00    9.13e+01
2015 03 26  0049   57107   2940     7.78e+01    4.70e+01   -6.71e+00    9.12e+01
2015 03 26  0050   57107   3000     7.76e+01    4.75e+01   -6.16e+00    9.12e+01
2015 03 26  0051   57107   3060     7.77e+01    4.80e+01   -5.67e+00    9.15e+01
2015 03 26  0052   57107   3120     7.73e+01    4.87e+01   -5.42e+00    9.15e+01
2015 03 26  0053   57107   3180     7.75e+01    4.89e+01   -5.39e+00    9.18e+01
2015 03 26  0054   57107   3240     7.71e+01    4.84e+01   -5.82e+00    9.12e+01
2015 03 26  0055   57107   3300     7.64e+01    4.82e+01   -6.56e+00    9.05e+01
2015 03 26  0056   57107   3360     7.68e+01    4.85e+01   -6.70e+00    9.11e+01
2015 03 26  0057   57107   3420     7.71e+01    4.86e+01   -6.85e+00    9.14e+01
2015 03 26  0058   57107   3480     7.73e+01    4.88e+01   -6.68e+00    9.17e+01
2015 03 26  0059   57107   3540     7.65e+01    4.88e+01   -6.67e+00    9.10e+01
2015 03 26  0100   57107   3600     7.68e+01    4.88e+01   -7.07e+00    9.12e+01
2015 03 26  0101   57107   3660     7.71e+01    4.88e+01   -7.25e+00    9.15e+01
2015 03 26  0102   57107   3720     7.71e+01    4.87e+01   -7.47e+00    9.15e+01
2015 03 26  0103   57107   3780     7.76e+01    4.88e+01   -7.53e+00    9.20e+01
2015 03 26  0104   57107   3840     7.74e+01    4.84e+01   -7.54e+00    9.16e+01
2015 03 26  0105   57107   3900     7.78e+01    4.86e+01   -7.70e+00    9.20e+01
2015 03 26  0106   57107   3960     7.73e+01    4.86e+01   -7.18e+00    9.15e+01
2015 03 26  0107   57107   4020     7.76e+01    4.86e+01   -7.17e+00    9.19e+01
2015 03 26  0108   57107   4080     7.80e+01    4.82e+01   -7.24e+00    9.20e+01
2015 03 26  0109   57107   4140     7.83e+01    4.84e+01   -7.03e+00    9.23e+01
2015 03 26  0110   57107   4200     7.83e+01    4.80e+01   -6.70e+00    9.21e+01
2015 03 26  0111   57107   4260     7.83e+01    4.77e+01   -6.36e+00    9.19e+01
2015 03 26  0112   57107   4320     7.84e+01    4.72e+01   -6.63e+00    9.17e+01
2015 03 26  0113   57107   4380     7.82e+01    4.73e+01   -6.59e+00    9.16e+01
2015 03 26  0114   57107   4440     7.86e+01    4.69e+01   -6.65e+00    9.17e+01
2015 03 26  0115   57107   4500     7.85e+01    4.71e+01   -6.63e+00    9.18e+01
2015 03 26  0116   57107   4560     7.89e+01    4.73e+01   -6.32e+00    9.22e+01
2015 03 26  0117   57107   4620     7.88e+01    4.69e+01   -6.54e+00    9.19e+01
2015 03 26  0118   57107   4680     7.89e+01    4.68e+01   -6.69e+00    9.20e+01
2015 03 26  0119   57107   4740     7.84e+01    4.67e+01   -6.83e+00    9.15e+01
2015 03 26  0120   57107   4800     7.84e+01    4.66e+01   -6.64e+00    9.14e+01
2015 03 26  0121   57107   4860     7.82e+01    4.65e+01   -6.50e+00    9.12e+01
2015 03 26  0122   57107   4920     7.87e+01    4.66e+01   -6.45e+00    9.17e+01
2015 03 26  0123   57107   4980     7.88e+01    4.66e+01   -6.28e+00    9.18e+01
2015 03 26  0124   57107   5040     7.85e+01    4.64e+01   -6.48e+00    9.14e+01
2015 03 26  0125   57107   5100     7.84e+01    4.65e+01   -6.79e+00    9.14e+01
2015 03 26  0126   57107   5160     7.78e+01    4.61e+01   -6.65e+00    9.07e+01
2015 03 26  0127   57107   5220     7.80e+01    4.61e+01   -6.55e+00    9.09e+01
2015 03 26  0128   57107   5280     7.78e+01    4.64e+01   -6.27e+00    9.09e+01
2015 03 26  0129   57107   5340     7.79e+01    4.67e+01   -6.25e+00    9.10e+01
2015 03 26  0130   57107   5400     7.75e+01    4.66e+01   -6.28e+00    9.06e+01
2015 03 26  0131   57107   5460     7.81e+01    4.72e+01   -6.83e+00    9.15e+01
2015 03 26  0132   57107   5520     7.81e+01    4.77e+01   -6.97e+00    9.18e+01
2015 03 26  0133   57107   5580     7.82e+01    4.86e+01   -7.14e+00    9.24e+01
2015 03 26  0134   57107   5640     7.79e+01    4.91e+01   -6.93e+00    9.23e+01
2015 03 26  0135   57107   5700     7.74e+01    4.91e+01   -6.99e+00    9.20e+01
2015 03 26  0136   57107   5760     7.77e+01    4.94e+01   -6.90e+00    9.23e+01
2015 03 26  0137   57107   5820     7.77e+01    4.97e+01   -6.97e+00    9.25e+01
2015 03 26  0138   57107   5880     7.74e+01    4.92e+01   -7.42e+00    9.20e+01
2015 03 26  0139   57107   5940     7.72e+01    4.92e+01   -7.31e+00    9.18e+01
2015 03 26  0140   57107   6000     7.72e+01    4.87e+01   -7.19e+00    9.16e+01
2015 03 26  0141   57107   6060     7.73e+01    4.83e+01   -7.16e+00    9.14e+01
2015 03 26  0142   57107   6120     7.74e+01    4.79e+01   -7.14e+00    9.13e+01
2015 03 26  0143   57107   6180     7.83e+01    4.79e+01   -7.05e+00    9.20e+01
2015 03 26  0144   57107   6240     7.81e+01    4.75e+01   -6.50e+00    9.17e+01
2015 03 26  0145   57107   6300     7.74e+01    4.72e+01   -5.74e+00    9.08e+01
2015 03 26  0146   57107   6360     7.76e+01    4.70e+01   -5.92e+00    9.09e+01
2015 03 26  0147   57107   6420     7.69e+01    4.68e+01   -5.88e+00    9.02e+01
2015 03 26  0148   57107   6480     7.61e+01    4.65e+01   -5.78e+00    8.94e+01
